ball	function	reason
A26	PS_MIO65_502	not used in minimal system; no external interface
A27	PS_MIO66_502	not used in minimal system; no external interface
B25	PS_MIO67_502	not used in minimal system; no external interface
B26	PS_MIO68_502	not used in minimal system; no external interface
B27	PS_MIO69_502	not used in minimal system; no external interface
C26	PS_MIO70_502	not used in minimal system; no external interface
C27	PS_MIO71_502	not used in minimal system; no external interface
E25	PS_MIO72_502	not used in minimal system; no external interface
H24	PS_MIO73_502	not used in minimal system; no external interface
G25	PS_MIO74_502	not used in minimal system; no external interface
D25	PS_MIO75_502	not used in minimal system; no external interface
H25	PS_MIO76_502	not used in minimal system; no external interface
F25	PS_MIO77_502	not used in minimal system; no external interface
T21	PS_ERROR_OUT_503	not used in minimal system; no external interface
R21	PS_ERROR_STATUS_503	not used in minimal system; no external interface
AF25	PS_DDR_A17_504	not used in minimal system; no external interface
AH27	PS_DDR_BG1_504	not used in minimal system; no external interface
AL26	PS_DDR_CK1_504	not used in minimal system; no external interface
AJ27	PS_DDR_CKE1_504	not used in minimal system; no external interface
AL27	PS_DDR_CK_N1_504	not used in minimal system; no external interface
AL30	PS_DDR_CS_N1_504	not used in minimal system; no external interface
AN34	PS_DDR_DM8_504	not used in minimal system; no external interface
AN31	PS_DDR_DQ64_504	not used in minimal system; no external interface
AP31	PS_DDR_DQ65_504	not used in minimal system; no external interface
AP32	PS_DDR_DQ66_504	not used in minimal system; no external interface
AP33	PS_DDR_DQ67_504	not used in minimal system; no external interface
AM31	PS_DDR_DQ68_504	not used in minimal system; no external interface
AM33	PS_DDR_DQ69_504	not used in minimal system; no external interface
AM34	PS_DDR_DQ70_504	not used in minimal system; no external interface
AL33	PS_DDR_DQ71_504	not used in minimal system; no external interface
AN33	PS_DDR_DQS_N8_504	not used in minimal system; no external interface
AN32	PS_DDR_DQS_P8_504	not used in minimal system; no external interface
AJ26	PS_DDR_ODT1_504	not used in minimal system; no external interface
AA28	PS_MGTREFCLK0N_505	not used in minimal system; no external interface
AA27	PS_MGTREFCLK0P_505	not used in minimal system; no external interface
AB30	PS_MGTRTXN0_505	not used in minimal system; no external interface
AB29	PS_MGTRTXP0_505	not used in minimal system; no external interface
W28	PS_MGTREFCLK1N_505	not used in minimal system; no external interface
W27	PS_MGTREFCLK1P_505	not used in minimal system; no external interface
Y30	PS_MGTRTXN1_505	not used in minimal system; no external interface
Y29	PS_MGTRTXP1_505	not used in minimal system; no external interface
U28	PS_MGTREFCLK2N_505	not used in minimal system; no external interface
U27	PS_MGTREFCLK2P_505	not used in minimal system; no external interface
